ID,Naziv,Tip,Lat,Lon,Mjerenja,Period,Metoda,Prioritet,SUMO_edge_id,SUMO_lane_id,SUMO_pos_m,Suggested_zone,Direction_note
P1,Ulaz Lukavica veza Dobrinja (veza ka KS),Ulaz/Izlaz,43.8185,18.3562,protok; smjerovi,Radni dan 07-09 & 15-17,Video ili ručno,1,,,,west_entry,towards KS
P2,Lukavica veza Istočna Ilidža (lokalni ulaz),Ulaz/Izlaz,43.8201,18.3639,protok,Radni dan 07-09 & 15-17,Ručno,2,,,,local_entry,local connector
P3,Vojkovići veza Kasindo (zapadni ulaz),Ulaz/Izlaz,43.8227,18.3471,protok,Radni dan 07-09 & 15-17,Ručno,2,,,,west_entry,Kasindo connector
P4,Lukavica veza Pale (regionalni pravac),Ulaz/Izlaz,43.8332,18.4304,protok; sezonalnost,Radni dan 07-09 & 15-17 + vikend,Video ili ručno,1,,,,east_regional,towards Pale
P5,Pale veza Sarajevo (M18) tranzit,Tranzit,43.8514,18.4412,protok 24h,24h (radni dan),Ručno (kampanja) / automatski ako postoji,1,,,,central,main urban axis
P6,Stup veza Lukavica (ulaz u zonu),Tranzit,43.8219,18.3387,protok; brzine (opcionalno),Radni dan 07-09 & 15-17,Video + floating-car,1,,,,central,main urban axis
P7,Dobrinja veza Lukavica (KS veza),Tranzit,43.8158,18.3615,protok; smjerovi,Radni dan 07-09 & 15-17,Video,1,,,,east_exit,urban east
R1,Ulaz Lukavica (glavna raskrsnica),Raskrsnica,43.8189,18.3591,skretni tokovi; kolone; zadržavanja,Radni dan 07-09 & 15-17,Video (15-min intervali),1,,,,junction,intersection
R2,Lukavica centar (kritična raskrsnica),Raskrsnica,43.8207,18.3648,kolone; zadržavanja; skretni tokovi,Radni dan 07-09 & 15-17,Video + terensko opažanje,1,,,,junction,intersection
R3,Veza Dobrinja (raskrsnica/uključenje),Raskrsnica,43.8169,18.3583,skretni tokovi; zadržavanja,Radni dan 07-09 & 15-17,Video,1,,,,junction,intersection
R4,Pale centar (sezonski uticaji),Raskrsnica,43.8204,18.5699,skretni tokovi; kolone; sezonalnost,Zima/ljeto: radni dan + vikend,Video ili ručno,2,,,,junction,intersection
